stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
TX,Anderson County,48001,19227,44465,Texas,43.24075115,25238,-23.55924885
TX,Andrews County,48003,5863,10530,Texas,55.67901235,4667,-11.12098765
TX,Angelina County,48005,34574,60145,Texas,57.48441267,25571,-9.315587331
TX,Aransas County,48007,12290,18785,Texas,65.42454086,6495,-1.375459143
TX,Archer County,48009,4796,6630,Texas,72.33785822,1834,5.53785822
TX,Armstrong County,48011,1112,1505,Texas,73.88704319,393,7.087043189
TX,Atascosa County,48013,18118,33660,Texas,53.8265003,15542,-12.9734997
TX,Austin County,48015,14554,20825,Texas,69.88715486,6271,3.087154862
TX,Bailey County,48017,1860,4385,Texas,42.41733181,2525,-24.38266819
TX,Bandera County,48019,12715,17725,Texas,71.7348378,5010,4.9348378
TX,Bastrop County,48021,36665,56260,Texas,65.17063633,19595,-1.629363669
TX,Baylor County,48023,1702,2790,Texas,61.00358423,1088,-5.796415771
TX,Bee County,48025,9420,25100,Texas,37.52988048,15680,-29.27011952
TX,Bell County,48027,127375,238615,Texas,53.38096934,111240,-13.41903066
TX,Bexar County,48029,770818,1311580,Texas,58.77018558,540762,-8.029814422
TX,Blanco County,48031,7441,9020,Texas,82.49445676,1579,15.69445676
TX,Borden County,48033,416,435,Texas,95.63218391,19,28.83218391
TX,Bosque County,48035,9126,13670,Texas,66.75932699,4544,-0.04067300658
TX,Bowie County,48037,38261,69105,Texas,55.36647131,30844,-11.43352869
TX,Brazoria County,48039,154984,243680,Texas,63.60144452,88696,-3.198555483
TX,Brazos County,48041,85061,157520,Texas,54.00012697,72459,-12.79987303
TX,Brewster County,48043,4822,7160,Texas,67.34636872,2338,0.5463687151
TX,Briscoe County,48045,725,1155,Texas,62.77056277,430,-4.029437229
TX,Brooks County,48047,2484,4655,Texas,53.36197637,2171,-13.43802363
TX,Brown County,48049,15969,28675,Texas,55.68962511,12706,-11.11037489
TX,Burleson County,48051,8609,13240,Texas,65.02265861,4631,-1.77734139
TX,Burnet County,48053,24717,35080,Texas,70.45895097,10363,3.658950969
TX,Caldwell County,48055,14973,28755,Texas,52.07094418,13782,-14.72905582
TX,Calhoun County,48057,7856,14840,Texas,52.93800539,6984,-13.86199461
TX,Callahan County,48059,6832,10585,Texas,64.54416627,3753,-2.255833727
TX,Cameron County,48061,114174,231130,Texas,49.39817419,116956,-17.40182581
TX,Camp County,48063,5060,8560,Texas,59.11214953,3500,-7.687850467
TX,Carson County,48065,3122,4470,Texas,69.84340045,1348,3.043400447
TX,Cass County,48067,13927,22905,Texas,60.80331805,8978,-5.996681947
TX,Castro County,48069,2083,4510,Texas,46.18625277,2427,-20.61374723
TX,Chambers County,48071,21652,27750,Texas,78.02522523,6098,11.22522523
TX,Cherokee County,48073,19508,34970,Texas,55.78495854,15462,-11.01504146
TX,Childress County,48075,2279,5470,Texas,41.66361974,3191,-25.13638026
TX,Clay County,48077,5744,7995,Texas,71.84490306,2251,5.044903064
TX,Cochran County,48079,1000,1830,Texas,54.64480874,830,-12.15519126
TX,Coke County,48081,1779,2600,Texas,68.42307692,821,1.623076923
TX,Coleman County,48083,4124,6260,Texas,65.87859425,2136,-0.9214057508
TX,Collin County,48085,490856,620935,Texas,79.05110841,130079,12.25110841
TX,Collingsworth County,48087,1218,2065,Texas,58.98305085,847,-7.816949153
TX,Colorado County,48089,9975,15000,Texas,66.5,5025,-0.3
TX,Comal County,48091,88892,105005,Texas,84.65501643,16113,17.85501643
TX,Comanche County,48093,6086,9850,Texas,61.78680203,3764,-5.01319797
TX,Concho County,48095,1268,1945,Texas,65.19280206,677,-1.607197943
TX,Cooke County,48097,18996,28210,Texas,67.33782347,9214,0.5378234669
TX,Coryell County,48099,23493,55690,Texas,42.18531155,32197,-24.61468845
TX,Cottle County,48101,662,1110,Texas,59.63963964,448,-7.16036036
TX,Crane County,48103,1503,2935,Texas,51.20954003,1432,-15.59045997
TX,Crockett County,48105,1574,2470,Texas,63.72469636,896,-3.075303644
TX,Crosby County,48107,1953,4150,Texas,47.06024096,2197,-19.73975904
TX,Culberson County,48109,864,1470,Texas,58.7755102,606,-8.024489796
TX,Dallam County,48111,1609,3930,Texas,40.94147583,2321,-25.85852417
TX,Dallas County,48113,919504,1506745,Texas,61.02585374,587241,-5.774146256
TX,Dawson County,48115,3789,9120,Texas,41.54605263,5331,-25.25394737
TX,Deaf Smith County,48117,4610,10555,Texas,43.67598295,5945,-23.12401705
TX,Delta County,48119,2592,4015,Texas,64.55790785,1423,-2.242092154
TX,Denton County,48121,417964,561165,Texas,74.48148049,143201,7.681480491
TX,DeWitt County,48123,8118,15165,Texas,53.53115727,7047,-13.26884273
TX,Dickens County,48125,988,1680,Texas,58.80952381,692,-7.99047619
TX,Dimmit County,48127,3666,6995,Texas,52.40886347,3329,-14.39113653
TX,Donley County,48129,1648,2620,Texas,62.90076336,972,-3.899236641
TX,Duval County,48131,5053,8070,Texas,62.61462206,3017,-4.185377943
TX,Eastland County,48133,8293,14055,Texas,59.0039132,5762,-7.796086802
TX,Ector County,48135,44591,98665,Texas,45.1943445,54074,-21.6056555
TX,Edwards County,48137,1066,1610,Texas,66.21118012,544,-0.5888198758
TX,Ellis County,48139,85493,119690,Texas,71.42869078,34197,4.628690785
TX,El Paso County,48141,266729,506385,Texas,52.6731637,239656,-14.1268363
TX,Erath County,48143,16856,30585,Texas,55.111983,13729,-11.688017
TX,Falls County,48145,6133,12960,Texas,47.32253086,6827,-19.47746914
TX,Fannin County,48147,15007,26030,Texas,57.65270841,11023,-9.147291587
TX,Fayette County,48149,12941,18975,Texas,68.2002635,6034,1.400263505
TX,Fisher County,48151,1826,2910,Texas,62.74914089,1084,-4.050859107
TX,Floyd County,48153,2039,3860,Texas,52.8238342,1821,-13.9761658
TX,Foard County,48155,551,1015,Texas,54.28571429,464,-12.51428571
TX,Fort Bend County,48157,357514,466250,Texas,76.6786059,108736,9.878605898
TX,Franklin County,48159,5009,7660,Texas,65.39164491,2651,-1.408355091
TX,Freestone County,48161,8711,14435,Texas,60.34638033,5724,-6.453619674
TX,Frio County,48163,5279,12655,Texas,41.71473726,7376,-25.08526274
TX,Gaines County,48165,5996,10490,Texas,57.15919924,4494,-9.640800763
TX,Galveston County,48167,155060,234350,Texas,66.16599104,79290,-0.634008961
TX,Garza County,48169,1653,3145,Texas,52.55961844,1492,-14.24038156
TX,Gillespie County,48171,15850,19575,Texas,80.9706258,3725,14.1706258
TX,Glasscock County,48173,653,885,Texas,73.78531073,232,6.985310734
TX,Goliad County,48175,3995,5695,Texas,70.14925373,1700,3.349253731
TX,Gonzales County,48177,7648,13295,Texas,57.52538548,5647,-9.274614517
TX,Gray County,48179,7782,15360,Texas,50.6640625,7578,-16.1359375
TX,Grayson County,48181,59474,94395,Texas,63.0054558,34921,-3.794544203
TX,Gregg County,48183,47982,84385,Texas,56.8608165,36403,-9.939183504
TX,Grimes County,48185,12414,20350,Texas,61.002457,7936,-5.797542998
TX,Guadalupe County,48187,77619,113525,Texas,68.37172429,35906,1.57172429
TX,Hale County,48189,9586,22280,Texas,43.02513465,12694,-23.77486535
TX,Hall County,48191,1169,2115,Texas,55.27186761,946,-11.52813239
TX,Hamilton County,48193,4351,6365,Texas,68.35820896,2014,1.558208955
TX,Hansford County,48195,2047,2900,Texas,70.5862069,853,3.786206897
TX,Hardeman County,48197,1580,2860,Texas,55.24475524,1280,-11.55524476
TX,Hardin County,48199,27635,42090,Texas,65.65692564,14455,-1.143074364
TX,Harris County,48201,1640818,2705675,Texas,60.64357323,1064857,-6.15642677
TX,Harrison County,48203,29717,47735,Texas,62.25411124,18018,-4.545888761
TX,Hartley County,48205,2078,4060,Texas,51.18226601,1982,-15.61773399
TX,Haskell County,48207,2214,4180,Texas,52.96650718,1966,-13.83349282
TX,Hays County,48209,109395,153265,Texas,71.37637425,43870,4.576374254
